campo;;Ip 1;Vlong 1;;Ip 2;Vlong 2;;Ip 3;Vlong 3;;Ip 4;Vlong 4;;Ip 5;Vlong 5;;Ip 6;Vlong 6;;Ip 7;Vlong 7;;Ip 8;Vlong 8;;Ip 9;Vlong 9;;Ip 10;Vlong 10;;Ip 11;Vlong 11;;Ip 12;Vlong 12;;Ip 13;Vlong 13
5,9034;;-0,003;-0,1569;;-0,003;-0,1571;;-0,003;-0,1571;;-0,003;-0,1565;;-0,003;-0,1569;;-0,003;-0,1571;;-0,003;-0,1582;;-0,003;-0,1584;;-0,003;-0,159;;-0,003;-0,1592;;-0,003;-0,1595;;-0,003;-0,1602;;-0,003;-0,1611
12,648;;0,001;0,0149;;0,001;0,0152;;0,001;0,0151;;0,001;0,015;;0,001;0,0148;;0,001;0,0151;;0,001;0,0155;;0,001;0,0153;;0,001;0,0153;;0,001;0,015;;0,001;0,0154;;0,001;0,0153;;0,001;0,0155
23,889;;0,005;0,1476;;0,005;0,1476;;0,005;0,1475;;0,005;0,147;;0,005;0,1479;;0,005;0,1481;;0,005;0,1489;;0,005;0,1492;;0,005;0,1499;;0,005;0,1502;;0,005;0,1507;;0,005;0,1512;;0,005;0,152
32,8818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109,3206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179,0148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203,745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241,9644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273,4392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295,9212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340,8852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
