U (kV);D1 (cm);D2 (cm);;;D1 (m);D2 (m);U (V);;ancho D1 (cm);ancho D2 (cm);;Ancho D1 (m);Ancho D2 (m) 
3;2,825;4,88;;;0,02825;0,0488;3000;;0,2;0,4;;0,002;0,004
3,2;2,73;4,8425;;;0,0273;0,048425;3200;;0,2;0,4;;0,002;0,004
3,4;2,76;4,6125;;;0,0276;0,046125;3400;;0,3;0,4;;0,003;0,004
3,6;2,64;4,68;;;0,0264;0,0468;3600;;0,2;0,3;;0,002;0,003
3,8;2,59;4,645;;;0,0259;0,04645;3800;;0,2;0,3;;0,002;0,003
4;2,41;4,395;;;0,0241;0,04395;4000;;0,1;0,2;;0,001;0,002
4,2;2,425;4,429;;;0,02425;0,04429;4200;;0,1;0,3;;0,001;0,003
4,4;2,3675;4,215;;;0,023675;0,04215;4400;;0,2;0,2;;0,002;0,002
4,6;2,3;4,095;;;0,023;0,04095;4600;;0,1;0,2;;0,001;0,002
4,8;2,245;3,98;;;0,02245;0,0398;4800;;0,05;0,2;;0,0005;0,002
5;2,22;3,9525;;;0,0222;0,039525;5000;;0,1;0,2;;0,001;0,002
